battery_id,stage,discharge_cycle_id,cycle_capacity_ah,nominal_capacity_ah,estimated_capacity_ah,capacity_ratio,estimated_capacity_ratio,capacity_estimation_error_ah,capacity_estimation_error_percent,method,rmse,mae,max_error,std_error,mean_error,num_samples,num_mono_violations,max_soc_increase,optimizer_cost,optimizer_nfev,optimizer_success
B0005,early,1,1.8564874208181572,1.8564874208181572,1.861748224056671,1.0,1.002833740309533,0.005260803238513745,0.2833740309533204,Monotonic Terminal-Constrained CA-FGO,0.006789919792361321,0.005526224227328853,0.02050564744322297,0.0067762746047486284,0.00043024791427596535,197,14.0,0.0014754253522354516,9.28725104440694,8.0,True
B0005,early,1,1.8564874208181572,1.8564874208181572,,1.0,,,,Nominal-Capacity CC,6.960533198605949e-17,4.9197462234936145e-17,2.220446049250313e-16,5.538984808836432e-17,-4.215289989594404e-17,197,,,,,
B0005,middle,84,1.5488741079890418,1.8564874208181572,1.5684896797332373,0.8343035835418967,0.8448695434962878,0.01961557174419548,1.2664406773293586,Monotonic Terminal-Constrained CA-FGO,0.05065593968731104,0.04354708208987311,0.0761851752736461,0.037226208099051625,-0.03435452890334253,329,31.0,0.0039981823974808706,31.958614469493313,17.0,True
B0005,middle,84,1.5488741079890418,1.8564874208181572,,0.8343035835418967,,,,Nominal-Capacity CC,0.10408939989456256,0.09036307977121522,0.1654260279192284,0.05166349760392879,0.09036307977121522,329,,,,,
B0005,late,168,1.3250793286429356,1.8564874208181572,1.351818812607088,0.7137561578838875,0.7281594248623237,0.026739483964152377,2.017953445212771,Monotonic Terminal-Constrained CA-FGO,0.11212679219074573,0.09858950253896233,0.17850441794286287,0.08378090532359386,-0.07451964459218577,300,44.0,0.00478741118093513,46.14571217743841,19.0,True
B0005,late,168,1.3250793286429356,1.8564874208181572,,0.7137561578838875,,,,Nominal-Capacity CC,0.18806407382022045,0.16401027981540864,0.28571302520425035,0.09202567020526767,0.16401027981540864,300,,,,,
