battery_id,stage,discharge_cycle_id,cycle_capacity_ah,nominal_capacity_ah,estimated_capacity_ah,capacity_ratio,estimated_capacity_ratio,capacity_estimation_error_ah,capacity_estimation_error_percent,method,rmse,mae,max_error,std_error,mean_error,num_samples,optimizer_cost,optimizer_nfev,optimizer_success
B0005,early,1,1.8564874208181572,1.8564874208181572,1.861739193941872,1.0,1.0028288762233575,0.00525177312371472,0.28288762233574705,Terminal-Constrained Capacity-Aware FGO,0.009151575089555213,0.006491525246356333,0.033337805121380126,0.009044543447455934,0.0013955502308585803,197,8.464729059277708,8.0,True
B0005,early,1,1.8564874208181572,1.8564874208181572,,1.0,,,,Nominal-Capacity CC,6.960533198605949e-17,4.9197462234936145e-17,2.220446049250313e-16,5.538984808836432e-17,-4.215289989594404e-17,197,,,
B0005,middle,84,1.5488741079890418,1.8564874208181572,1.5586357034581144,0.8343035835418967,0.8395616829825978,0.009761595469072626,0.6302381464524869,Terminal-Constrained Capacity-Aware FGO,0.0561916923274787,0.04708572282219043,0.13021103991529884,0.04697110997343257,-0.030841872746150367,329,23.626469380012896,12.0,True
B0005,middle,84,1.5488741079890418,1.8564874208181572,,0.8343035835418967,,,,Nominal-Capacity CC,0.10408939989456256,0.09036307977121522,0.1654260279192284,0.05166349760392879,0.09036307977121522,329,,,
B0005,late,168,1.3250793286429356,1.8564874208181572,1.3360001506588508,0.7137561578838875,0.7196386766090088,0.010920822015915155,0.8241636391007312,Terminal-Constrained Capacity-Aware FGO,0.12135554110419777,0.10685095437383085,0.1984147982887007,0.10161158679418007,-0.06634947464646156,300,31.57119902442851,12.0,True
B0005,late,168,1.3250793286429356,1.8564874208181572,,0.7137561578838875,,,,Nominal-Capacity CC,0.18806407382022045,0.16401027981540864,0.28571302520425035,0.09202567020526767,0.16401027981540864,300,,,
