battery_id,stage,discharge_cycle_id,capacity_ah,method,rmse,mae,max_error,std_error,num_samples
B0005,early,1,1.8564874208181572,Coulomb Counting,6.960533198605949e-17,4.9197462234936145e-17,2.220446049250313e-16,5.538984808836432e-17,197
B0005,middle,82,1.5594815668184234,Coulomb Counting,3.622511836041337e-17,1.8236937633431935e-17,1.1102230246251565e-16,3.386787422075719e-17,330
B0005,late,164,1.293463613844243,Coulomb Counting,4.177552112688901e-17,2.2700346092201553e-17,1.1102230246251565e-16,3.759551356009208e-17,297
