battery_id,stage,discharge_cycle_id,battery_order,stage_order,Nominal-Capacity CC,Physical CA-FGO
B0005,middle,84,0,0,0.1040893998945625,0.008888244288559
B0005,late,168,0,1,0.1880640738202204,0.0196480928463408
B0006,middle,84,1,0,0.1809527702346328,0.033204199589542
B0006,late,168,1,1,0.2897300081219328,0.0667850539755337
B0007,middle,84,2,0,0.0888015685366272,0.0042130744528769
B0007,late,168,2,1,0.148318719371045,0.0134427279417218
B0018,middle,66,3,0,0.1081905962984419,0.0197659424848808
B0018,late,132,3,1,0.1755748192422972,0.0218745353299105
